(* LiveJournal data collected by Shirley Man from *)
(* http://www.livejournal.com/stats/stats.txt     *)
(* Number of new accounts on LiveJournal,         *)
(* day by day from 2000/1/1 to 2005/2/28          *)
(* Individual data are NOT labelled.              *)
data -          2056
data -          2033
data -          2350
data -          2256
data -          2136
data -          2185
data -          1798
data -          1344
data -           648
data -           764
data -          1333
data -           923
data -           780
data -           692
data -           590
data -           713
data -           712
data -           703
data -           458
data -           585
data -           575
data -           527
data -           631
data -           697
data -           694
data -           717
data -           753
data -           731
data -           661
data -           698
data -           828
data -           790
data -           744
data -           783
data -           737
data -           581
data -           622
data -           896
data -           803
data -           804
data -           817
data -           695
data -           661
data -           695
data -           858
data -           842
data -           763
data -           731
data -           860
data -           695
data -           675
data -           901
data -           844
data -           687
data -           753
data -           727
data -           612
data -           621
data -           828
data -           930
data -           839
data -           794
data -           728
data -           579
data -           597
data -           800
data -           880
data -           282
data -           687
data -           603
data -           680
data -           744
data -           814
data -           974
data -           937
data -           832
data -           775
data -           728
data -           679
data -           812
data -           921
data -           882
data -           824
data -           763
data -           611
data -           585
data -           656
data -           661
data -           659
data -           677
data -           592
data -           618
data -           644
data -           797
data -           720
data -           723
data -           621
data -           610
data -           621
data -           616
data -           684
data -           643
data -           587
data -           600
data -           533
data -           436
data -           598
data -           745
data -           729
data -           789
data -           758
data -           626
data -           613
data -           615
data -           771
data -           749
data -           810
data -           676
data -           488
data -           611
data -           551
data -           650
data -           485
data -           515
data -           618
data -           754
data -           739
data -           695
data -           844
data -           652
data -           906
data -          1040
data -          1014
data -           859
data -           831
data -           924
data -           736
data -           918
data -           930
data -           869
data -           787
data -           773
data -          1047
data -           880
data -           993
data -           919
data -           908
data -           856
data -           868
data -           992
data -          1200
data -          1098
data -           934
data -           954
data -           848
data -           825
data -          1014
data -          1073
data -          1022
data -          1020
data -          1008
data -           848
data -           796
data -           922
data -           739
data -           928
data -           919
data -           889
data -           814
data -           820
data -           840
data -           948
data -          1023
data -           885
data -           784
data -           790
data -           772
data -          1021
data -          1207
data -          1099
data -          1102
data -          1030
data -           904
data -           862
data -           946
data -          1031
data -           944
data -           970
data -           960
data -           810
data -           837
data -           923
data -          1018
data -           937
data -           929
data -           904
data -           730
data -           748
data -           930
data -           884
data -           917
data -           967
data -           930
data -           804
data -           752
data -          1008
data -          1088
data -          1178
data -          1062
data -          1039
data -           849
data -           878
data -          1070
data -          1159
data -          1067
data -          1186
data -          1048
data -           966
data -           908
data -          1106
data -          1229
data -          1094
data -          1292
data -          1186
data -           963
data -          1015
data -          1167
data -          1306
data -          1265
data -          1152
data -          1152
data -           994
data -           954
data -          1165
data -          1074
data -          1016
data -           971
data -          1003
data -           841
data -           912
data -          1158
data -          1147
data -          1074
data -          1134
data -          1048
data -           876
data -           882
data -          1142
data -          1086
data -          1094
data -          1070
data -          1084
data -           902
data -           841
data -          1032
data -          1185
data -          1102
data -          1084
data -          1059
data -           882
data -           860
data -           942
data -          1129
data -          1115
data -          1152
data -           977
data -           935
data -           935
data -          1114
data -          1244
data -          1206
data -          1151
data -          1122
data -          1012
data -           880
data -           984
data -          1188
data -          1245
data -          1384
data -          1253
data -          1029
data -           953
data -          1092
data -          1320
data -          1292
data -          1256
data -          1219
data -          1016
data -           972
data -           969
data -          1308
data -          1271
data -          1219
data -          1243
data -          1075
data -           944
data -          1117
data -          1300
data -          1276
data -          1261
data -          1208
data -          1074
data -           911
data -          1125
data -          1291
data -          1291
data -          1324
data -          1283
data -          1141
data -           956
data -          1162
data -          1355
data -          1340
data -          1242
data -           956
data -          1030
data -          1048
data -          1241
data -          1452
data -          1390
data -          1346
data -          1180
data -          1116
data -          1039
data -          1238
data -          1384
data -          1409
data -          1288
data -          1183
data -          1172
data -           998
data -          1231
data -          1287
data -          1415
data -          1414
data -          1274
data -          1122
data -           971
data -          1137
data -          1359
data -          1457
data -          1349
data -          1301
data -          1154
data -           943
data -          1166
data -          1321
data -          1270
data -          1297
data -          1262
data -          1101
data -           946
data -          1218
data -          1249
data -          1339
data -          1302
data -          1239
data -          1142
data -          1067
data -          1189
data -          1286
data -          1314
data -          1278
data -          1302
data -          1057
data -          1054
data -          1154
data -          1283
data -          1241
data -          1286
data -          1140
data -          1049
data -          1003
data -          1100
data -          1435
data -          1326
data -          1252
data -          1254
data -          1026
data -          1040
data -          1247
data -          1268
data -          1334
data -          1192
data -          1038
data -          1072
data -          1058
data -          1292
data -          1276
data -          1201
data -          1213
data -          1113
data -           948
data -           973
data -          1224
data -          1310
data -          1312
data -          1191
data -          1086
data -           997
data -           937
data -          1244
data -          1281
data -          1339
data -          1229
data -          1167
data -           983
data -           914
data -          1251
data -          1228
data -          1293
data -          1167
data -          1128
data -           967
data -           974
data -          1247
data -          1393
data -          1267
data -          1221
data -          1117
data -           974
data -           910
data -          1198
data -          1290
data -          1320
data -          1223
data -          1145
data -           940
data -           892
data -          1301
data -          1352
data -          1289
data -          1251
data -           937
data -          1017
data -          1034
data -          1267
data -          1349
data -          1364
data -          1289
data -          1251
data -          1042
data -          1019
data -          1391
data -          1509
data -          1304
data -          1324
data -          1243
data -          1001
data -           996
data -          1299
data -          1393
data -          1337
data -          1351
data -          1181
data -          1059
data -           982
data -          1241
data -          1339
data -          1261
data -          1110
data -           900
data -          1002
data -          1019
data -          1352
data -          1419
data -          1335
data -          1370
data -          1296
data -          1081
data -          1034
data -          1365
data -          1386
data -          1397
data -          1367
data -          1308
data -          1108
data -          1056
data -          1335
data -          1417
data -          1325
data -          1236
data -          1113
data -          1078
data -           931
data -          1094
data -          1215
data -          1011
data -           897
data -          1091
data -          1146
data -          1086
data -          1367
data -          1464
data -          1085
data -          1489
data -          1755
data -          1674
data -          1540
data -          1734
data -          1547
data -          1601
data -          1559
data -          1139
data -          1375
data -          1395
data -          1694
data -          1627
data -          1521
data -          1692
data -          1571
data -          1388
data -          1316
data -          1603
data -          1778
data -          1624
data -          1627
data -          1517
data -          1431
data -          1302
data -          1568
data -          1727
data -          1596
data -          1493
data -          1532
data -          1360
data -          1309
data -          1627
data -          1559
data -          1557
data -          1488
data -          1543
data -          1585
data -          1289
data -          1737
data -          1854
data -          1678
data -          1681
data -          1473
data -          1165
data -          1388
data -          1690
data -          1915
data -          2008
data -          1187
data -          1151
data -          1481
data -          1453
data -          1913
data -          1801
data -          1688
data -          1722
data -          1574
data -          1431
data -          1389
data -          1757
data -          1835
data -          1860
data -          1746
data -          1755
data -          1489
data -          1365
data -          1835
data -          1957
data -          1847
data -          1851
data -          1770
data -          1439
data -          1430
data -          1767
data -          1825
data -          1813
data -          1854
data -          1744
data -          1542
data -          1492
data -          1800
data -          1937
data -          1936
data -          1843
data -          1787
data -          1520
data -          1491
data -          2106
data -          2156
data -          1980
data -          1970
data -          1800
data -          1617
